0.275558,-0.150951,0.710159,0.071168,0.041070,-0.701168,0.708245,-0.336625,0.014176,0.358672,0.545815,-0.573588,0.014962,-0.310312,-0.485586,-0.414867,0.958503,-0.508238,0.261360,0.180495,0.255111,-0.285240,-2.131476,1.316204,-1.400000,1.571960,0.723580,-0.002796,0.387074,0.353749,-1.716285,-0.708419,1.452796,-0.752161,0.107673,-0.760159
0.281766,-0.156967,0.714750,0.074020,0.043105,-0.699231,0.709746,-0.291408,-0.016301,0.360144,0.447923,-0.533611,0.013927,-0.329851,-0.478565,-0.325453,0.963595,-0.449111,0.261800,0.179226,0.273516,-0.307081,-2.109920,1.335277,-1.400000,1.543448,0.743463,0.005723,0.471399,0.393877,-1.756191,-0.749012,1.453110,-0.781818,0.121715,-0.800289
0.297059,-0.165364,0.715975,0.077967,0.048103,-0.705855,0.702407,-0.252173,-0.048918,0.374647,0.363382,-0.509965,0.023687,-0.320480,-0.629239,-0.377486,0.981086,-0.363950,0.239788,0.194191,0.297175,-0.334060,-2.086559,1.365376,-1.400000,1.504994,0.761607,0.023782,0.582565,0.413425,-1.801767,-0.770767,1.456252,-0.808054,0.146967,-0.847044
0.309569,-0.171993,0.716597,0.083402,0.053021,-0.716933,0.690101,-0.211272,-0.079981,0.398287,0.264060,-0.478272,0.028249,-0.312363,-0.805555,-0.487262,0.993114,-0.267204,0.174712,0.211785,0.314386,-0.360287,-2.061314,1.400270,-1.400000,1.466120,0.777491,0.024485,0.742192,0.412206,-1.846651,-0.778809,1.461113,-0.836084,0.163932,-0.909137
0.318903,-0.178701,0.715876,0.089653,0.053941,-0.716028,0.690186,-0.182388,-0.116262,0.399270,0.192167,-0.449026,0.030384,-0.314130,-0.900839,-0.497391,0.974451,-0.080151,0.201459,0.203058,0.322118,-0.383588,-2.037057,1.431725,-1.400000,1.422880,0.810413,0.031034,0.905297,0.391913,-1.885917,-0.763008,1.462459,-0.870033,0.180877,-0.969921
0.318984,-0.181231,0.719541,0.091792,0.066092,-0.699887,0.705240,-0.183598,-0.118190,0.362802,0.139956,-0.407324,0.024358,-0.342037,-0.801737,-0.365662,0.901163,0.114147,0.261800,0.178069,0.348607,-0.422546,-2.004781,1.463870,-1.400000,1.376822,0.848494,0.015124,1.006197,0.327611,-1.926139,-0.696527,1.468826,-0.905785,0.184613,-1.001033
0.318961,-0.183746,0.724315,0.086915,0.089443,-0.693221,0.709853,-0.200215,-0.082907,0.332906,0.113267,-0.387237,0.025230,-0.365146,-0.671208,-0.269943,0.839028,0.233094,0.261800,0.188340,0.400749,-0.469104,-1.969961,1.490023,-1.400000,1.346178,0.867129,0.003348,1.060708,0.180590,-1.979282,-0.555469,1.469385,-0.912823,0.181801,-1.016229
0.322813,-0.188131,0.726164,0.081588,0.103828,-0.692131,0.709590,-0.194251,-0.063469,0.320878,0.081859,-0.377614,0.027196,-0.363362,-0.614505,-0.234034,0.794904,0.315153,0.261800,0.210984,0.436907,-0.494146,-1.968236,1.503912,-1.400000,1.320702,0.867757,-0.006125,1.072309,-0.011955,-2.028515,-0.382517,1.451189,-0.904846,0.180811,-1.020071
0.325648,-0.190738,0.726738,0.081477,0.112801,-0.695745,0.704681,-0.192213,-0.054364,0.327637,0.057222,-0.370238,0.024918,-0.372548,-0.607604,-0.257643,0.776989,0.351594,0.261800,0.244416,0.446200,-0.510343,-1.989893,1.508484,-1.400000,1.291966,0.867119,-0.007331,1.071674,-0.214139,-2.068129,-0.194964,1.416765,-0.903858,0.174327,-1.013507
0.327522,-0.192207,0.725663,0.086723,0.114585,-0.697746,0.701783,-0.200263,-0.060463,0.334908,0.055610,-0.371727,0.027126,-0.391940,-0.625419,-0.267443,0.787546,0.356936,0.261800,0.253671,0.435468,-0.516807,-2.000875,1.510033,-1.400000,1.276302,0.872715,-0.000821,1.076111,-0.267284,-2.082985,-0.133315,1.396031,-0.904191,0.171230,-1.017365
0.328915,-0.193085,0.724406,0.091132,0.115755,-0.701044,0.697734,-0.203547,-0.067228,0.343186,0.047846,-0.374384,0.028960,-0.411398,-0.642591,-0.278628,0.797099,0.361694,0.261800,0.266941,0.425051,-0.517033,-2.010407,1.511091,-1.400000,1.265744,0.878250,0.008481,1.072911,-0.323594,-2.097488,-0.071851,1.374074,-0.898512,0.168909,-1.017122
0.329823,-0.193790,0.723572,0.094654,0.116628,-0.704162,0.693970,-0.208473,-0.071269,0.351084,0.047264,-0.378659,0.032820,-0.427095,-0.655890,-0.285171,0.804256,0.362436,0.261800,0.279305,0.412543,-0.516012,-2.021675,1.509726,-1.400000,1.250907,0.881762,0.015565,1.069009,-0.380182,-2.106630,-0.010932,1.353003,-0.888861,0.165577,-1.015232
